classifier,model,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
SVM,ResNet152,256,0.654,0.747,0.654,0.679,0.6659999999999999,0.48700000000000004,0.6659999999999999,0.563,0.97,0.963,0.03,0.33399999999999996,0.513,0.9540000000000001
SVM,ResNet50V2,256,0.863,0.87,0.863,0.862,0.747,0.799,0.747,0.772,0.985,0.985,0.015,0.253,0.201,0.982
SVM,ResNet101V2,256,0.853,0.8640000000000001,0.853,0.8540000000000001,0.7559999999999999,0.8,0.7559999999999999,0.777,0.9840000000000001,0.983,0.016,0.244,0.2,0.98
SVM,ResNet152V2,256,0.879,0.883,0.879,0.878,0.765,0.802,0.765,0.7829999999999999,0.986,0.987,0.013999999999999999,0.235,0.198,0.9840000000000001
SVM,InceptionV3,256,0.877,0.879,0.877,0.8740000000000001,0.754,0.8270000000000001,0.754,0.789,0.985,0.987,0.015,0.24600000000000002,0.17300000000000001,0.9840000000000001
SVM,InceptionResNetV2,256,0.846,0.858,0.846,0.846,0.7290000000000001,0.794,0.7290000000000001,0.76,0.983,0.982,0.017,0.271,0.20600000000000002,0.9790000000000001
SVM,MobileNet,256,0.897,0.897,0.897,0.893,0.765,0.873,0.765,0.815,0.986,0.99,0.013999999999999999,0.235,0.127,0.986
SVM,MobileNetV2,256,0.8909999999999999,0.892,0.8909999999999999,0.889,0.765,0.841,0.765,0.8009999999999999,0.987,0.9890000000000001,0.013000000000000001,0.235,0.159,0.985
SVM,DenseNet121,256,0.878,0.882,0.878,0.878,0.8059999999999999,0.831,0.8059999999999999,0.818,0.986,0.986,0.013999999999999999,0.19399999999999998,0.16899999999999998,0.9840000000000001
SVM,DenseNet169,256,0.897,0.899,0.897,0.8959999999999999,0.8240000000000001,0.856,0.8240000000000001,0.84,0.988,0.988,0.012,0.17600000000000002,0.14400000000000002,0.986
SVM,DenseNet201,256,0.903,0.9059999999999999,0.903,0.903,0.845,0.8759999999999999,0.845,0.86,0.9890000000000001,0.988,0.011000000000000001,0.155,0.124,0.987
